Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61266463,Clytemnestra,Costanza Casati,"Casati, Costanza",,"=""1728268257""","=""9781728268255""",0,4.22,Sourcebooks Landmark,Kindle Edition,582,2023,2023,2026/03/05,2026/03/05,,,read,,,,1,0
199212560,"A Ruse of Shadows (Lady Sherlock, #8)",Sherry Thomas,"Thomas, Sherry",,"=""0593640438""","=""9780593640432""",0,4.09,Berkley,Paperback,335,2024,2024,2026/02/28,2026/02/26,,,read,,,,1,0
68394012,The Paris Assignment,Rhys Bowen,"Bowen, Rhys",,"=""1662504241""","=""9781662504242""",0,4.32,Lake Union Publishing,Hardcover,383,2023,2023,2025/02/13,2025/02/09,,,read,,,,1,0
201156167,The Rose Arbor,Rhys Bowen,"Bowen, Rhys",,"=""1662504217""","=""9781662504211""",0,4.17,Lake Union Publishing,Hardcover,379,2024,2024,2025/08/14,2025/08/13,,,read,,,,1,0
214333691,Sunrise on the Reaping (The Hunger Games),Suzanne Collins,"Collins, Suzanne",,"=""1546171479""","=""9781546171478""",0,4.50,Scholastic Press,Kindle Edition,400,2025,2025,2026/01/05,2026/01/05,,,read,,,,1,0
13643133,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",0,4.15,Phoenix,Kindle Edition,512,2012,2012,2025/08/21,2025/08/21,,,read,,,,1,0
40606102,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"Shaffer, Mary Ann",Annie Barrows,"=""""","=""""",0,4.19,The Dial Press,Kindle Edition,322,2018,2008,2025/05/15,2025/05/15,,,read,,,,1,0
10176670,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0061739251""","=""9780061739255""",0,4.27,William Morrow Paperbacks,Kindle Edition,320,2009,1939,2025/05/13,2025/05/13,,,read,,,,1,0
201632576,"A Scandal in Mayfair (Lily Adler Mystery, #5)",Katharine Schellman,"Schellman, Katharine",,"=""1639108416""","=""9781639108411""",0,4.04,Crooked Lane Books,Hardcover,320,2024,2024,2025/02/06,2025/02/04,,,read,,,,1,0
59719158,"Death at the Manor (Lily Adler Mystery, #3)",Katharine Schellman,"Schellman, Katharine",,"=""1639100792""","=""9781639100798""",0,3.80,Crooked Lane Books,Kindle Edition,352,2022,2022,2025/01/28,2025/01/29,,,read,,,,1,0
52106858,"The Body in the Garden (Lily Adler Mystery, #1)",Katharine Schellman,"Schellman, Katharine",,"=""1643853570""","=""9781643853574""",0,3.75,Crooked Lane Books,Kindle Edition,327,2020,2020,2025/01/18,2025/01/29,,,read,,,,1,0
58340731,Wildwood Whispers,Willa Reece,"Reece, Willa",,"=""0316591777""","=""9780316591775""",5,3.98,Redhook,Paperback,400,2022,2021,2024/09/20,2025/01/29,,,read,,,,1,0
31340883,In Farleigh Field,Rhys Bowen,"Bowen, Rhys",,"=""1477818294""","=""9781477818299""",0,4.01,Lake Union Publishing,Hardcover,379,2017,2017,2025/01/04,2025/01/29,,,read,,,,1,0
33931130,"A Conspiracy in Belgravia (Lady Sherlock, #2)",Sherry Thomas,"Thomas, Sherry",,"=""0425281418""","=""9780425281413""",0,4.10,Berkley,Paperback,319,2017,2017,2025/12/31,2025/12/31,,,read,,,,1,0
52702097,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,4.21,Bloomsbury Publishing,Kindle Edition,246,2020,2020,2026/02/24,2026/02/23,,,read,,,,1,0
60588775,A Tempest at Sea (Lady Sherlock #7),Sherry Thomas,"Thomas, Sherry",,"=""0593200608""","=""9780593200605""",0,4.17,Berkley,Paperback,353,2023,2023,2026/02/21,2026/02/16,,,read,,,,1,0
57486214,"Miss Moriarty, I Presume? (Lady Sherlock, #6)",Sherry Thomas,"Thomas, Sherry",,"=""0593200586""","=""9780593200582""",0,4.07,Berkley,Paperback,357,2021,2021,2026/02/13,2026/02/13,,,read,,,,1,0
49655634,"Murder on Cold Street (Lady Sherlock, #5)",Sherry Thomas,"Thomas, Sherry",,"=""0451492498""","=""9780451492494""",0,4.20,Berkley,Paperback,344,2020,2020,2026/02/07,2026/02/06,,,read,,,,1,0
36510437,"The Art of Theft (Lady Sherlock, #4)",Sherry Thomas,"Thomas, Sherry",,"=""0451492471""","=""9780451492470""",0,4.08,Berkley,Paperback,304,2019,2019,2026/01/31,2026/01/31,,,read,,,,1,0
